field_id,form_id,form_number,field_category,field_name,normalized_name,data_type,field_type,required,validation_rules,language,context,document_source
EQUIP_ec8ecc_bomba_de_calor_sin_d,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,1. Bomba de calor sin ductos,bomba_de_calor_sin_ductos,text,Text Input,False,,es,1. Bomba de calor sin ductos: sugerir si el hogar tiene calefacción por zonas de,012_HES_FM0300CPF_es.pdf
EQUIP_b055a5_ductless_heat_pump,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,1. Ductless Heat Pump,ductless_heat_pump,text,Text Input,False,,en,1. Ductless Heat Pump: Suggest if the home has electric resistance zonal heat like,011_HES_FM0300CPF.pdf
FIN_616d33_nocost,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,11. No-Cost,nocost,text,Text Input,False,,en,"11. No-Cost: Is this site eligible for a co-cost ductless heat pump, ducted heat pump, heat",011_HES_FM0300CPF.pdf
FIN_0acc6a_sin_costo,CPF-300-HOME-ASSESSMENT,300CPF,financial_information,11. Sin costo,sin_costo,text,Text Input,False,,es,"11. Sin costo: ¿Este sitio cumple con los requisitos para una bomba de calor sin ductos,",012_HES_FM0300CPF_es.pdf
EQUIP_ba6118_bomba_de_calor_con_d,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,2. Bomba de calor con ductos,bomba_de_calor_con_ductos,text,Text Input,False,,es,2. Bomba de calor con ductos: sugerir si la casa tiene calefacción por aire forzado con,012_HES_FM0300CPF_es.pdf
EQUIP_a3b43d_ducted_heat_pump,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,2. Ducted Heat Pump,ducted_heat_pump,text,Text Input,False,,en,2. Ducted Heat Pump: Suggest if the home has an electric resistance forced air furnace,011_HES_FM0300CPF.pdf
EQUIP_13f2da_90_afue_gas_furnace,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,3. 90+% AFUE Gas Furnace,90_afue_gas_furnace,number,Text Input,False,range:70-100,en,"3. 90+% AFUE Gas Furnace: Suggest if the home has an existing, older gas furnace,",011_HES_FM0300CPF.pdf
EQUIP_27de75_smart_thermostat,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,4. Smart Thermostat,smart_thermostat,text,Text Input,False,,en,"4. Smart Thermostat: Suggest if the home has Wi -Fi, a forced air furnace (gas or electric",011_HES_FM0300CPF.pdf
EQUIP_0c188e_termostato_inteligen,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,4. Termostato inteligente,termostato_inteligente,phone,Text Input,False,phone_format,es,"4. Termostato inteligente: sugerir si la casa tiene Wi -Fi, calefacción por aire forzado (a",012_HES_FM0300CPF_es.pdf
EQUIP_bf0c73_calentador_de_agua_c,CPF-300-HOME-ASSESSMENT,300CPF,equipment_information,5. Calentador de agua con bomba de calor,calentador_de_agua_con_bomba_de_calor,text,Text Input,False,,es,5. Calentador de agua con bomba de calor: sugerir si la casa tiene un calentador de,012_HES_FM0300CPF_es.pdf
