form_number,document,field_name,field_type,required,context
300CPF,012_HES_FM0300CPF_es.pdf,1. Bomba de calor sin ductos,Text Input,False,1. Bomba de calor sin ductos: sugerir si el hogar tiene calefacción por zonas de
300CPF,011_HES_FM0300CPF.pdf,1. Ductless Heat Pump,Text Input,False,1. Ductless Heat Pump: Suggest if the home has electric resistance zonal heat like
300CPF,011_HES_FM0300CPF.pdf,11. No-Cost,Text Input,False,"11. No-Cost: Is this site eligible for a co-cost ductless heat pump, ducted heat pump, heat"
300CPF,012_HES_FM0300CPF_es.pdf,11. Sin costo,Text Input,False,"11. Sin costo: ¿Este sitio cumple con los requisitos para una bomba de calor sin ductos,"
300CPF,012_HES_FM0300CPF_es.pdf,2. Bomba de calor con ductos,Text Input,False,2. Bomba de calor con ductos: sugerir si la casa tiene calefacción por aire forzado con
300CPF,011_HES_FM0300CPF.pdf,2. Ducted Heat Pump,Text Input,False,2. Ducted Heat Pump: Suggest if the home has an electric resistance forced air furnace
300CPF,011_HES_FM0300CPF.pdf,3. 90+% AFUE Gas Furnace,Text Input,False,"3. 90+% AFUE Gas Furnace: Suggest if the home has an existing, older gas furnace,"
300CPF,011_HES_FM0300CPF.pdf,4. Smart Thermostat,Text Input,False,"4. Smart Thermostat: Suggest if the home has Wi -Fi, a forced air furnace (gas or electric"
300CPF,012_HES_FM0300CPF_es.pdf,4. Termostato inteligente,Text Input,False,"4. Termostato inteligente: sugerir si la casa tiene Wi -Fi, calefacción por aire forzado (a"
300CPF,012_HES_FM0300CPF_es.pdf,5. Calentador de agua con bomba de calor,Text Input,False,5. Calentador de agua con bomba de calor: sugerir si la casa tiene un calentador de
300CPF,011_HES_FM0300CPF.pdf,5. Heat Pump Water Heater,Text Input,False,"5. Heat Pump Water Heater: Suggest if the home has an older water heater, especially if"
300CPF,012_HES_FM0300CPF_es.pdf,6. Aislamiento del ático,Text Input,False,6. Aislamiento del ático: sugerir si la casa tiene menos de R -18 (usualmente 6 pulgadas
300CPF,011_HES_FM0300CPF.pdf,6. Attic Insulation,Text Input,False,6. Attic Insulation: Suggest if the home has less than R -18 (typically 6 inches of
300CPF,012_HES_FM0300CPF_es.pdf,7. Aislamiento del piso,Text Input,False,7. Aislamiento del piso: sugerir si la casa tiene menos de R -11 (usualmente de 3 a 4
300CPF,011_HES_FM0300CPF.pdf,7. Floor Insulation,Text Input,False,7. Floor Insulation: Suggest if the home has less than R-11 (typically 3-4 inches of
300CPF,011_HES_FM0300CPF.pdf,7. Other Health and Safety Concerns,Text Input,False,7. Other Health and Safety Concerns: Please check any/all of the following:
300CPF,011_HES_FM0300CPF.pdf,8. Roof (optional),Text Input,False,8. Roof (optional) : Please Check any/all of the following
300CPF,012_HES_FM0300CPF_es.pdf,8. Techo,Text Input,False,"8. Techo: por favor, marque una o todas las opciones siguientes"
300CPF,012_HES_FM0300CPF_es.pdf,8. Ventanas,Text Input,False,8. Ventanas: sugerir que se reemplacen las ventanas de un solo panel que estén
300CPF,011_HES_FM0300CPF.pdf,8. Windows,Text Input,False,8. Windows: Suggest any broken/non-functioning single-pane windows to be replaced
300CPF,011_HES_FM0300CPF.pdf,9. Referral to Community Action Agency (CAA),Text Input,False,9. Referral to Community Action Agency (CAA): Income -qualified residents may be
